ticker,sector,signal,final_score,momentum,value,quality,sentiment,current_price,stop_loss,stop_loss_pct,take_profit,take_profit_pct,risk_reward,atr,reason
AMAT,semiconductor,HOLD,0.38,0.76,0.0,0.0,0.0,369.83,340.24,-8.0,428.41,15.84,1.9800842148961662,19.5279,モメンタム強気(+0.76)
HII,aerospace,HOLD,0.38,0.76,0.0,0.0,0.0,443.14,407.69,-8.0,502.35,13.36,1.670042010834421,19.735,モメンタム強気(+0.76)
HWM,aerospace,HOLD,0.38,0.76,0.0,0.0,0.0,251.3,231.2,-8.0,277.74,10.52,1.3153238742365148,8.8144,モメンタム強気(+0.76)
LMT,aerospace,HOLD,0.38,0.76,0.0,0.0,0.0,666.51,613.19,-8.0,724.44,8.69,1.0864828880426254,19.3107,モメンタム強気(+0.76)
MRNA,biotech,HOLD,0.38,0.76,0.0,0.0,0.0,49.7,45.72,-8.0,60.02,20.76,2.5947647979303166,3.4389,モメンタム強気(+0.76)
NOC,aerospace,HOLD,0.38,0.76,0.0,0.0,0.0,736.87,677.92,-8.0,793.4,7.67,0.9589300526116697,18.8428,モメンタム強気(+0.76)
RIG,energy,HOLD,0.38,0.76,0.0,0.0,0.0,6.36,5.85,-8.0,7.57,19.0,2.3753374236006923,0.4029,モメンタム強気(+0.76)
EQIX,datacenter,HOLD,0.3788,0.7576,0.0,0.0,0.0,918.03,844.59,-8.0,1007.06,9.7,1.2122620533082187,29.6771,モメンタム強気(+0.76)
OXY,energy,HOLD,0.3777,0.7554,0.0,0.0,0.0,51.53,47.41,-8.0,56.9,10.42,1.3028987062538138,1.7904,モメンタム強気(+0.76)
VAL,energy,HOLD,0.3736,0.7473,0.0,0.0,0.0,92.49,85.09,-8.0,111.75,20.82,2.602550026164878,6.4189,モメンタム強気(+0.75)
AG,mining,HOLD,0.3652,0.7304,0.0,0.0,0.0,24.78,22.8,-8.0,30.9,24.7,3.0877073066394067,2.0404,モメンタム強気(+0.73)
RCAT,aerospace,HOLD,0.3623,0.7247,0.0,0.0,0.0,12.83,11.8,-8.0,17.39,35.57,4.446678683961289,1.5214,モメンタム強気(+0.72)
LHX,aerospace,HOLD,0.3476,0.6952,0.0,0.0,0.0,358.7,330.0,-8.0,388.26,8.24,1.0299844067322992,9.8521,モメンタム強気(+0.70)
NE,energy,HOLD,0.3465,0.693,0.0,0.0,0.0,45.34,41.71,-8.0,51.87,14.41,1.8012709890230663,2.1779,モメンタム強気(+0.69)
XAR,etf,HOLD,0.3284,0.6567,0.0,0.0,0.0,284.46,261.7,-8.0,309.0,8.63,1.0783026016235369,8.1796,モメンタム強気(+0.66)
FANG,energy,HOLD,0.3281,0.6561,0.0,0.0,0.0,174.72,160.74,-8.0,190.43,8.99,1.1238900155514788,5.2364,モメンタム強気(+0.66)
MU,semiconductor,HOLD,0.3273,0.6547,0.0,0.0,0.0,417.35,383.96,-8.0,508.11,21.75,2.7182993432314757,30.2529,モメンタム強気(+0.65)
ASML,semiconductor,HOLD,0.326,0.6519,0.0,0.0,0.0,1458.93,1342.22,-8.0,1611.66,10.47,1.3086197901210028,50.9116,モメンタム強気(+0.65)
LRCX,semiconductor,HOLD,0.3154,0.6309,0.0,0.0,0.0,237.39,218.4,-8.0,277.58,16.93,2.1164311134581926,13.3979,モメンタム強気(+0.63)
PAAS,mining,HOLD,0.3046,0.6092,0.0,0.0,0.0,61.21,56.31,-8.0,73.62,20.27,2.5337466209965434,4.1358,モメンタム強気(+0.61)
EOG,energy,HOLD,0.3039,0.6077,0.0,0.0,0.0,123.87,113.96,-8.0,134.39,8.49,1.0613085307493795,3.5057,モメンタム強気(+0.61)
XLE,etf,HOLD,0.3016,0.6031,0.0,0.0,0.0,55.18,50.77,-8.0,58.86,6.66,0.8325029730165832,1.225,モメンタム強気(+0.60)
RTX,aerospace,HOLD,0.3008,0.6015,0.0,0.0,0.0,205.41,188.98,-8.0,220.78,7.48,0.9353676687121457,5.1236,モメンタム強気(+0.60)
SLB,energy,HOLD,0.2994,0.5988,0.0,0.0,0.0,51.54,47.42,-8.0,56.4,9.43,1.1792993023279976,1.6208,モメンタム強気(+0.60)
HAL,energy,HOLD,0.2939,0.5879,0.0,0.0,0.0,35.37,32.54,-8.0,38.82,9.76,1.2196328348763594,1.1504,モメンタム強気(+0.59)
NEM,mining,HOLD,0.2928,0.5856,0.0,0.0,0.0,125.4,115.37,-8.0,145.77,16.24,2.0305000339707107,6.79,モメンタム強気(+0.59)
DVN,energy,HOLD,0.2893,0.5786,0.0,0.0,0.0,44.66,41.09,-8.0,49.24,10.27,1.2832077378441233,1.5282,モメンタム強気(+0.58)
COP,energy,HOLD,0.286,0.5719,0.0,0.0,0.0,111.59,102.66,-8.0,121.09,8.51,1.0643236102444968,3.1671,モメンタム強気(+0.57)
CVX,energy,HOLD,0.273,0.546,0.0,0.0,0.0,184.78,170.0,-8.0,196.61,6.4,0.8001074377024004,3.9425,モメンタム強気(+0.55)
AMGN,biotech,HOLD,0.2725,0.545,0.0,0.0,0.0,375.5,345.46,-8.0,407.89,8.63,1.0782990084935886,10.7974,モメンタム強気(+0.55)
VRT,datacenter,HOLD,0.2649,0.5298,0.0,0.0,0.0,243.06,223.62,-8.0,292.09,20.17,2.521332705136112,16.3423,モメンタム強気(+0.53)
XOM,energy,HOLD,0.2631,0.5263,0.0,0.0,0.0,150.97,138.89,-8.0,163.04,7.99,0.9991001451966947,4.0222,モメンタム強気(+0.53)
BMY,biotech,HOLD,0.2629,0.5259,0.0,0.0,0.0,60.3,55.48,-8.0,64.91,7.64,0.955268530335037,1.5361,モメンタム強気(+0.53)
GILD,biotech,HOLD,0.2487,0.4975,0.0,0.0,0.0,151.12,139.03,-8.0,164.08,8.57,1.071729862707822,4.3189,モメンタム強気(+0.50)
GDX,etf,HOLD,0.2372,0.4744,0.0,0.0,0.0,104.24,95.9,-8.0,121.83,16.88,2.10991487507687,5.865,モメンタム強気(+0.47)
WPM,mining,HOLD,0.2325,0.465,0.0,0.0,0.0,145.34,133.71,-8.0,169.32,16.5,2.0622821878972544,7.9929,モメンタム強気(+0.46)
BIIB,biotech,HOLD,0.2285,0.4569,0.0,0.0,0.0,192.08,176.71,-8.0,211.33,10.02,1.2527559212835973,6.4168,モメンタム強気(+0.46)
KLAC,semiconductor,HOLD,0.2259,0.4519,0.0,0.0,0.0,1469.9,1352.31,-8.0,1704.95,15.99,1.9988965143138597,78.3514,モメンタム強気(+0.45)
GOLD,mining,HOLD,0.22,0.44,0.0,0.0,0.0,58.67,53.98,-8.0,73.62,25.47,3.1842448330537465,4.9819,モメンタム強気(+0.44)
SMH,etf,HOLD,0.2188,0.4377,0.0,0.0,0.0,410.2,377.38,-8.0,452.52,10.32,1.2896583164309072,14.1071,モメンタム強気(+0.44)
